country,Left Score,Right Score,Score,Pref
US,28,32,70,Right
ID,42,29,53,Left
VN,35,27,58,None
MY,46,38,58,None
SG,48,34,52,Left
NO,38,26,54,Left
IN,29,40,77,Right
AG,44,28,50,Left
AU,25,27,68,Right
US,37,27,56,None
PH,32,40,74,Right
US,42,26,50,Left
IN,33,35,68,Right
US,35,33,64,None
CA,27,26,65,Right
GB,19,35,82,Right
US,38,26,54,Left
PT,37,25,54,Left
US,47,27,46,Left
US,25,31,72,Right
US,34,27,59,None
NO,43,21,44,Left
GB,35,31,62,None
AR,23,27,70,Right
US,21,38,83,Right
US,30,26,62,None
US,35,24,55,Left
ZA,21,44,89,Right
RO,39,25,52,Left
NZ,25,34,75,Right
US,28,34,72,Right
BR,32,23,57,None
US,31,36,71,Right
US,30,30,66,Right
US,31,33,68,Right
US,40,22,48,Left
US,32,20,54,Left
US,31,37,72,Right
FR,27,35,74,Right
US,24,31,73,Right
US,48,21,39,Left
US,33,27,60,None
US,45,29,50,Left
US,17,45,94,Right
US,38,33,61,None
US,35,33,64,None
US,23,25,68,Right
US,36,27,57,None
US,28,30,68,Right
ZA,39,28,55,Left
US,33,26,59,None
US,39,33,60,None
NZ,37,33,62,None
US,30,29,65,Right
AE,33,28,61,None
US,32,25,59,None
GB,26,32,72,Right
CA,33,27,60,None
CA,32,26,60,None
PH,33,30,63,None
ID,34,26,58,None
GB,48,23,41,Left
ID,27,18,57,None
IT,16,30,80,Right
ID,27,39,78,Right
US,32,27,61,None
ID,48,44,62,None
AU,22,34,78,Right
GB,35,29,60,None
SG,37,27,56,None
PT,30,26,62,None
US,43,25,48,Left
US,41,31,56,None
RO,34,31,63,None
MY,34,33,65,Right
US,14,41,93,Right
PK,33,25,58,None
US,34,26,58,None
US,30,34,70,Right
GB,37,26,55,Left
US,32,34,68,Right
US,44,28,50,Left
US,27,28,67,Right
CA,33,19,52,Left
NL,27,35,74,Right
DE,32,28,62,None
ID,29,31,68,Right
US,41,25,50,Left
US,30,38,74,Right
US,35,20,51,Left
US,43,25,48,Left
US,18,33,81,Right
ZA,34,32,64,None
PH,36,27,57,None
US,36,30,60,None
AU,28,27,65,Right
CO,29,33,70,Right
LK,39,28,55,Left
US,30,32,68,Right
MY,35,31,62,None
US,40,31,57,None
CA,26,36,76,Right
US,32,29,63,None
CA,37,28,57,None
US,41,26,51,Left
US,50,28,44,Left
US,42,36,60,None
FI,42,39,63,None
SG,26,22,62,None
AU,26,29,69,Right
CA,32,28,62,None
PH,33,24,57,None
IN,26,37,77,Right
IE,31,26,61,None
TW,44,24,46,Left
IN,37,24,53,Left
ZA,29,31,68,Right
IR,31,33,68,Right
US,29,40,77,Right
PH,42,31,55,Left
IT,23,39,82,Right
PH,40,29,55,Left
US,40,36,62,None
BE,36,28,58,None
GB,24,32,74,Right
AU,23,25,68,Right
GB,34,27,59,None
US,47,28,47,Left
US,34,30,62,None
PH,37,37,66,Right
US,38,29,57,None
VN,31,28,63,None
BG,41,36,61,None
ES,46,32,52,Left
AE,31,29,64,None
US,44,22,44,Left
CA,41,27,52,Left
US,34,27,59,None
SI,44,18,40,Left
US,25,34,75,Right
PL,26,33,73,Right
US,39,24,51,Left
US,26,30,70,Right
US,24,36,78,Right
US,40,33,59,None
AU,32,31,65,Right
US,34,26,58,None
US,46,22,42,Left
US,28,32,70,Right
IT,30,30,66,Right
US,38,25,53,Left
ID,27,35,74,Right
GR,43,37,60,None
SI,21,42,87,Right
US,43,20,43,Left
US,26,26,66,Right
US,39,26,53,Left
RO,42,26,50,Left
US,40,33,59,None
US,50,27,43,Left
US,34,27,59,None
PH,20,23,69,Right
US,28,32,70,Right
US,34,34,66,Right
AU,22,32,76,Right
US,27,32,71,Right
US,41,25,50,Left
US,41,31,56,None
US,36,43,73,Right
US,34,36,68,Right
MY,34,31,63,None
US,34,33,65,Right
RO,25,21,62,None
MY,48,26,44,Left
IN,36,31,61,None
US,42,31,55,Left
US,36,34,64,None
US,45,28,49,Left
US,23,29,72,Right
JM,36,35,65,Right
US,54,27,39,Left
US,40,34,60,None
US,28,37,75,Right
NZ,42,33,57,None
US,36,28,58,None
GR,38,30,58,None
GB,23,26,69,Right
US,43,24,47,Left
US,23,30,73,Right
US,32,27,61,None
GB,37,24,53,Left
GB,34,24,56,None
GB,35,17,48,Left
IT,34,38,70,Right
GB,30,29,65,Right
US,16,24,74,Right
GB,33,22,55,Left
SG,42,28,52,Left
PH,40,33,59,None
GB,38,28,56,None
US,26,29,69,Right
PH,37,28,57,None
PK,35,37,68,Right
PH,18,39,87,Right
GB,37,34,63,None
US,35,33,64,None
US,27,32,71,Right
CA,34,28,60,None
US,38,29,57,None
US,33,27,60,None
US,32,25,59,None
BE,27,31,70,Right
US,23,33,76,Right
AU,24,38,80,Right
MA,39,24,51,Left
US,24,29,71,Right
IN,36,26,56,None
US,24,42,84,Right
TH,21,38,83,Right
CA,39,28,55,Left
GB,24,32,74,Right
US,41,25,50,Left
US,21,32,77,Right
BD,45,29,50,Left
US,35,24,55,Left
US,25,32,73,Right
US,31,30,65,Right
US,38,35,63,None
ZA,45,30,51,Left
US,29,33,70,Right
JE,31,21,56,None
US,38,26,54,Left
US,40,26,52,Left
US,39,33,60,None
US,38,36,64,None
US,47,18,37,Left
US,33,28,61,None
US,26,34,74,Right
US,30,34,70,Right
US,35,30,61,None
ZA,26,29,69,Right
CA,36,26,56,None
ID,27,21,60,None
PH,41,23,48,Left
US,29,28,65,Right
US,48,23,41,Left
US,21,39,84,Right
US,37,27,56,None
BR,32,29,63,None
SA,33,27,60,None
US,39,32,59,None
US,45,28,49,Left
US,39,31,58,None
SE,34,33,65,Right
US,25,35,76,Right
MY,30,25,61,None
MY,40,25,51,Left
PE,42,29,53,Left
US,24,35,77,Right
US,25,29,70,Right
MY,27,33,72,Right
US,33,29,62,None
US,31,29,64,None
US,40,26,52,Left
US,27,26,65,Right
US,15,41,92,Right
US,31,26,61,None
ZA,45,37,58,None
BG,33,37,70,Right
IN,44,37,59,None
RO,45,35,56,None
PL,36,18,48,Left
PH,38,36,64,None
US,21,39,84,Right
US,32,21,55,Left
PK,45,17,38,Left
IT,23,32,75,Right
US,37,29,58,None
IN,39,38,65,Right
DE,23,34,77,Right
GB,30,34,70,Right
US,33,33,66,Right
US,33,28,61,None
US,48,28,46,Left
CA,35,34,65,Right
JO,48,28,46,Left
RS,32,28,62,None
US,25,35,76,Right
SA,34,33,65,Right
KR,23,32,75,Right
US,29,36,73,Right
US,43,19,42,Left
CA,39,29,56,None
US,29,28,65,Right
US,46,40,60,None
US,27,32,71,Right
US,38,31,59,None
CA,43,22,45,Left
US,40,27,53,Left
US,40,29,55,Left
US,30,33,69,Right
US,38,32,60,None
US,27,29,68,Right
US,42,24,48,Left
PH,33,41,74,Right
PH,39,32,59,None
PH,40,33,59,None
US,49,23,40,Left
SG,51,37,52,Left
US,41,33,58,None
IN,34,28,60,None
RU,39,31,58,None
PH,25,25,66,Right
US,35,26,57,None
IN,35,32,63,None
GB,38,23,51,Left
BR,44,30,52,Left
US,30,23,59,None
AU,37,26,55,Left
GB,36,29,59,None
ZM,41,29,54,Left
ZA,46,27,47,Left
US,28,33,71,Right
AU,44,32,54,Left
US,30,37,73,Right
MY,31,32,67,Right
PT,13,40,93,Right
EE,34,34,66,Right
EE,20,31,77,Right
GB,21,26,71,Right
GB,41,29,54,Left
MX,37,31,60,None
US,35,18,49,Left
US,35,31,62,None
US,33,28,61,None
US,53,21,34,Left
IN,39,39,66,Right
PE,44,37,59,None
US,31,32,67,Right
US,25,40,81,Right
GB,26,32,72,Right
SA,49,29,46,Left
FR,39,31,58,None
GB,19,33,80,Right
US,38,27,55,Left
US,42,19,43,Left
US,34,25,57,None
US,25,41,82,Right
US,28,23,61,None
CA,39,24,51,Left
SE,24,41,83,Right
US,34,38,70,Right
US,39,24,51,Left
US,36,22,52,Left
AU,33,40,73,Right
AU,33,22,55,Left
LB,46,29,49,Left
US,33,30,63,None
US,36,34,64,None
US,37,28,57,None
US,39,28,55,Left
US,30,26,62,None
AU,49,22,39,Left
CA,26,42,82,Right
US,26,29,69,Right
US,44,22,44,Left
MY,32,27,61,None
MY,46,26,46,Left
MY,40,27,53,Left
AU,33,20,53,Left
FR,28,31,69,Right
RO,40,19,45,Left
EU,48,29,47,Left
US,44,28,50,Left
PH,41,28,53,Left
GB,37,22,51,Left
IE,23,42,85,Right
GR,44,28,50,Left
PH,32,30,64,None
KE,48,27,45,Left
US,34,26,58,None
GB,27,30,69,Right
CY,36,19,49,Left
US,28,32,70,Right
US,40,23,49,Left
IN,32,31,65,Right
US,31,37,72,Right
BE,20,41,87,Right
IN,21,33,78,Right
IN,42,32,56,None
GB,29,39,76,Right
US,17,33,82,Right
US,23,32,75,Right
RO,46,20,40,Left
IN,50,27,43,Left
HK,39,24,51,Left
PH,25,33,74,Right
PH,34,26,58,None
PL,29,33,70,Right
FR,35,32,63,None
US,44,32,54,Left
US,29,37,74,Right
US,39,22,49,Left
US,33,30,63,None
US,37,31,60,None
US,41,27,52,Left
US,23,34,77,Right
US,33,27,60,None
US,37,25,54,Left
US,36,37,67,Right
US,45,32,53,Left
JM,41,29,54,Left
US,40,31,57,None
IR,31,28,63,None
SG,37,38,67,Right
IN,37,26,55,Left
IR,29,30,67,Right
US,33,29,62,None
US,24,29,71,Right
IR,36,19,49,Left
US,27,31,70,Right
SA,34,24,56,None
GB,29,36,73,Right
ZA,33,33,66,Right
RO,28,40,78,Right
MY,33,35,68,Right
US,41,21,46,Left
ZA,35,34,65,Right
MA,38,38,66,Right
US,37,31,60,None
US,31,28,63,None
ES,33,32,65,Right
US,23,26,69,Right
PL,29,29,66,Right
SV,25,42,83,Right
US,29,32,69,Right
HU,36,32,62,None
IE,46,33,53,Left
GB,32,25,59,None
US,41,33,58,None
US,35,23,54,Left
CA,35,28,59,None
US,28,32,70,Right
US,38,25,53,Left
US,23,31,74,Right
NG,35,27,58,None
IN,41,31,56,None
DE,27,43,82,Right
US,33,25,58,None
CA,38,32,60,None
US,34,29,61,None
AP,47,23,42,Left
US,33,26,59,None
US,14,44,96,Right
US,27,33,72,Right
MX,43,22,45,Left
US,35,25,56,None
US,24,34,76,Right
US,42,29,53,Left
US,38,29,57,None
US,40,28,54,Left
GR,36,28,58,None
PH,34,31,63,None
US,44,30,52,Left
DE,35,28,59,None
US,33,35,68,Right
NZ,34,28,60,None
US,34,28,60,None
US,31,31,66,Right
US,31,37,72,Right
MY,30,38,74,Right
US,36,32,62,None
US,23,33,76,Right
US,34,31,63,None
SG,30,36,72,Right
PH,32,31,65,Right
US,16,36,86,Right
US,29,35,72,Right
US,43,33,56,None
US,28,41,79,Right
IR,37,27,56,None
US,47,36,55,Left
US,40,35,61,None
AU,42,22,46,Left
AU,32,29,63,None
IN,43,24,47,Left
US,31,37,72,Right
GB,42,27,51,Left
US,39,35,62,None
IN,31,28,63,None
AR,37,33,62,None
CA,37,23,52,Left
FR,38,31,59,None
US,30,29,65,Right
US,40,23,49,Left
GB,35,42,73,Right
US,34,31,63,None
US,35,27,58,None
CA,44,31,53,Left
US,31,27,62,None
PH,39,31,58,None
ID,43,26,49,Left
PH,36,30,60,None
US,36,31,61,None
US,19,39,86,Right
US,31,30,65,Right
US,25,41,82,Right
MY,39,35,62,None
GB,33,30,63,None
US,43,29,52,Left
GB,32,21,55,Left
GB,32,26,60,None
US,34,39,71,Right
GB,31,29,64,None
US,33,27,60,None
US,35,39,70,Right
US,27,31,70,Right
GB,36,30,60,None
PH,36,36,66,Right
CA,30,34,70,Right
US,32,31,65,Right
GB,36,37,67,Right
NO,37,35,64,None
US,37,27,56,None
US,39,29,56,None
US,37,27,56,None
US,42,21,45,Left
AU,28,29,67,Right
US,23,37,80,Right
US,34,20,52,Left
US,39,28,55,Left
US,32,38,72,Right
US,54,20,32,Left
US,49,26,43,Left
US,18,40,88,Right
NL,42,26,50,Left
US,44,37,59,None
AU,40,30,56,None
US,49,23,40,Left
PS,30,32,68,Right
US,30,31,67,Right
PH,35,30,61,None
US,33,23,56,None
US,29,35,72,Right
PR,29,31,68,Right
US,29,32,69,Right
SG,27,29,68,Right
US,47,25,44,Left
US,43,31,54,Left
US,29,27,64,None
AU,30,28,64,None
VE,21,29,74,Right
HR,34,33,65,Right
US,20,36,82,Right
IN,41,27,52,Left
US,25,35,76,Right
US,40,21,47,Left
US,20,35,81,Right
IN,34,30,62,None
GB,29,30,67,Right
US,30,29,65,Right
US,38,42,70,Right
SG,42,27,51,Left
PE,31,34,69,Right
AU,19,39,86,Right
IN,39,29,56,None
GB,38,28,56,None
US,32,28,62,None
AT,47,27,46,Left
LK,43,31,54,Left
US,44,29,51,Left
IE,48,25,43,Left
US,26,27,67,Right
ID,28,35,73,Right
US,31,32,67,Right
GB,45,19,40,Left
GB,30,36,72,Right
EE,26,26,66,Right
GB,20,41,87,Right
TW,33,29,62,None
GB,35,33,64,None
PH,34,32,64,None
GB,37,27,56,None
IN,30,35,71,Right
CA,24,26,68,Right
KE,39,28,55,Left
GB,40,26,52,Left
CA,34,34,66,Right
RO,35,28,59,None
RO,36,24,54,Left
US,39,28,55,Left
GB,31,29,64,None
US,34,25,57,None
US,42,31,55,Left
ZA,34,28,60,None
US,39,33,60,None
CA,40,30,56,None
GB,39,32,59,None
US,35,29,60,None
US,45,18,39,Left
CA,39,24,51,Left
EU,33,29,62,None
US,41,27,52,Left
GB,35,24,55,Left
US,27,37,76,Right
US,31,31,66,Right
ID,42,35,59,None
SI,47,24,43,Left
BD,39,23,50,Left
US,23,34,77,Right
BD,27,32,71,Right
US,28,32,70,Right
US,40,27,53,Left
US,50,30,46,Left
MY,41,33,58,None
US,44,31,53,Left
CA,31,29,64,None
US,30,25,61,None
UY,39,22,49,Left
US,38,36,64,None
CA,32,27,61,None
US,31,37,72,Right
US,37,31,60,None
US,29,30,67,Right
US,38,34,62,None
UG,35,32,63,None
MX,40,37,63,None
BE,31,33,68,Right
US,25,36,77,Right
CA,35,24,55,Left
PH,38,21,49,Left
CA,34,30,62,None
US,35,22,53,Left
US,41,22,47,Left
US,33,26,59,None
IN,48,29,47,Left
IR,33,26,59,None
US,44,17,39,Left
PA,32,31,65,Right
JP,32,32,66,Right
AU,37,28,57,None
NZ,29,36,73,Right
IN,36,28,58,None
GB,40,18,44,Left
CY,32,35,69,Right
AU,34,28,60,None
US,37,30,59,None
NP,35,34,65,Right
ZA,25,25,66,Right
PH,49,32,49,Left
HR,35,27,58,None
IN,43,31,54,Left
US,36,26,56,None
AU,21,25,70,Right
US,37,19,48,Left
US,35,30,61,None
GB,48,21,39,Left
GB,36,30,60,None
MY,39,26,53,Left
EU,30,22,58,None
GB,40,24,50,Left
US,34,35,67,Right
GB,31,30,65,Right
MY,27,32,71,Right
DE,38,38,66,Right
GB,35,29,60,None
US,46,26,46,Left
GB,23,37,80,Right
ID,35,34,65,Right
US,20,35,81,Right
US,23,35,78,Right
US,39,29,56,None
US,30,39,75,Right
US,41,27,52,Left
US,29,38,75,Right
US,35,35,66,Right
US,39,36,63,None
ZA,45,25,46,Left
US,28,31,69,Right
MX,28,32,70,Right
US,49,27,44,Left
US,42,29,53,Left
SV,31,32,67,Right
US,44,30,52,Left
US,20,37,83,Right
GB,39,30,57,None
US,35,25,56,None
US,32,29,63,None
US,27,37,76,Right
GB,35,29,60,None
CA,34,34,66,Right
US,28,26,64,None
US,35,36,67,Right
US,35,30,61,None
US,40,31,57,None
CA,48,34,52,Left
US,29,27,64,None
US,44,28,50,Left
US,40,34,60,None
US,39,31,58,None
US,45,25,46,Left
US,29,32,69,Right
US,44,34,56,None
US,42,30,54,Left
US,47,26,45,Left
US,29,33,70,Right
US,29,36,73,Right
US,24,38,80,Right
US,34,24,56,None
AR,34,24,56,None
ID,27,32,71,Right
US,38,31,59,None
US,27,36,75,Right
ZA,35,28,59,None
GB,25,34,75,Right
IN,29,35,72,Right
CH,39,29,56,None
EU,24,26,68,Right
NA,29,32,69,Right
GB,32,29,63,None
AU,35,26,57,None
US,33,26,59,None
US,31,25,60,None
US,40,27,53,Left
VN,39,31,58,None
US,32,24,58,None
GB,36,35,65,Right
US,36,34,64,None
MY,26,37,77,Right
US,36,25,55,Left
US,38,30,58,None
US,24,33,75,Right
US,23,25,68,Right
CA,34,38,70,Right
US,32,29,63,None
US,39,27,54,Left
MY,28,40,78,Right
US,36,26,56,None
US,42,20,44,Left
SI,35,26,57,None
RU,28,33,71,Right
MX,25,35,76,Right
US,41,25,50,Left
IT,25,39,80,Right
GB,35,25,56,None
SE,40,23,49,Left
US,29,37,74,Right
US,48,40,58,None
US,33,31,64,None
US,30,34,70,Right
US,42,23,47,Left
GB,29,31,68,Right
US,44,31,53,Left
US,28,27,65,Right
DM,44,21,43,Left
PH,47,17,36,Left
CA,37,29,58,None
US,36,31,61,None
AU,21,32,77,Right
US,48,28,46,Left
US,32,35,69,Right
CA,33,29,62,None
US,28,27,65,Right
US,49,31,48,Left
US,29,27,64,None
US,27,32,71,Right
ID,23,39,82,Right
CA,39,41,68,Right
US,44,22,44,Left
US,36,25,55,Left
MY,33,32,65,Right
RO,32,32,66,Right
IN,33,27,60,None
RO,43,35,58,None
US,31,32,67,Right
US,25,32,73,Right
MY,37,28,57,None
US,45,24,45,Left
MY,29,21,58,None
MY,31,30,65,Right
CH,36,27,57,None
US,22,38,82,Right
US,36,30,60,None
HU,38,33,61,None
US,33,33,66,Right
US,17,29,78,Right
IN,25,37,78,Right
ZA,37,38,67,Right
IN,42,25,49,Left
US,28,35,73,Right
US,36,34,64,None
MY,34,36,68,Right
ZA,45,28,49,Left
US,33,27,60,None
US,30,27,63,None
MY,32,27,61,None
MY,30,29,65,Right
US,21,34,79,Right
US,35,29,60,None
MY,22,27,71,Right
US,47,25,44,Left
US,31,31,66,Right
US,41,27,52,Left
FI,19,37,84,Right
US,42,25,49,Left
OM,30,23,59,None
GB,34,21,53,Left
US,35,30,61,None
US,31,24,59,None
US,36,27,57,None
RS,31,32,67,Right
US,31,27,62,None
US,38,31,59,None
US,23,41,84,Right
GB,28,29,67,Right
CA,43,26,49,Left
NP,10,0,56,None
US,30,33,69,Right
US,20,31,77,Right
US,31,28,63,None
BR,29,22,59,None
CA,39,24,51,Left
US,30,24,60,None
US,38,25,53,Left
ID,36,39,69,Right
MM,32,32,66,Right
US,41,29,54,Left
US,30,36,72,Right
ID,47,30,49,Left
US,33,34,67,Right
US,35,29,60,None
US,37,29,58,None
US,22,32,76,Right
US,24,31,73,Right
US,42,25,49,Left
AU,34,31,63,None
MA,34,24,56,None
US,25,34,75,Right
IN,29,33,70,Right
ID,33,30,63,None
IN,32,24,58,None
PK,41,32,57,None
US,27,33,72,Right
US,39,25,52,Left
GB,38,33,61,None
GB,40,23,49,Left
EE,27,34,73,Right
MY,11,29,84,Right
AU,45,28,49,Left
US,39,28,55,Left
US,47,33,52,Left
ID,25,29,70,Right
US,27,29,68,Right
AU,37,25,54,Left
TW,42,26,50,Left
IN,35,32,63,None
RO,45,25,46,Left
US,42,28,52,Left
ZA,32,27,61,None
ZA,30,33,69,Right
UA,32,25,59,None
UA,35,25,56,None
GB,41,27,52,Left
GB,37,28,57,None
IS,23,31,74,Right
AU,40,29,55,Left
HU,41,27,52,Left
AU,19,33,80,Right
ES,43,33,56,None
US,26,37,77,Right
GB,23,31,74,Right
CA,40,24,50,Left
SG,34,29,61,None
US,23,36,79,Right
IE,20,41,87,Right
ID,35,28,59,None
HR,31,27,62,None
GB,38,27,55,Left
ZA,31,27,62,None
US,24,33,75,Right
SA,33,40,73,Right
CA,38,29,57,None
US,26,33,73,Right
NG,14,20,72,Right
PT,24,32,74,Right
IN,29,30,67,Right
PK,34,21,53,Left
GB,42,25,49,Left
IQ,25,14,55,Left
FR,26,27,67,Right
US,36,31,61,None
GB,22,29,73,Right
NZ,36,33,63,None
ZA,43,21,44,Left
GB,43,30,53,Left
US,35,28,59,None
TT,42,31,55,Left
US,35,30,61,None
CA,51,15,30,Left
PH,35,28,59,None
MX,27,34,73,Right
US,28,32,70,Right
PT,28,32,70,Right
US,29,32,69,Right
US,29,36,73,Right
US,34,33,65,Right
GB,29,36,73,Right
NZ,29,37,74,Right
DE,40,21,47,Left
IE,29,31,68,Right
DE,37,21,50,Left
CA,37,28,57,None
US,55,20,31,Left
US,38,23,51,Left
US,40,24,50,Left
US,33,23,56,None
US,31,25,60,None
US,31,27,62,None
US,30,38,74,Right
PK,31,35,70,Right
US,24,36,78,Right
US,38,30,58,None
US,29,25,62,None
US,39,31,58,None
RO,24,34,76,Right
US,36,32,62,None
US,33,29,62,None
US,43,29,52,Left
CZ,22,40,84,Right
GB,32,30,64,None
KW,44,28,50,Left
US,36,37,67,Right
TH,31,37,72,Right
EU,45,22,43,Left
MK,42,23,47,Left
US,31,36,71,Right
US,29,33,70,Right
US,42,27,51,Left
ZA,40,37,63,None
SG,44,28,50,Left
ZA,32,31,65,Right
US,22,40,84,Right
US,39,26,53,Left
US,50,29,45,Left
MY,39,29,56,None
VN,43,30,53,Left
US,30,31,67,Right
FI,46,31,51,Left
US,31,30,65,Right
FR,36,20,50,Left
NL,42,28,52,Left
US,33,39,72,Right
DE,33,25,58,None
US,32,24,58,None
DE,33,26,59,None
CA,25,29,70,Right
GB,36,27,57,None
CA,30,34,70,Right
US,32,33,67,Right
RO,32,28,62,None
RO,30,28,64,None
GB,26,34,74,Right
SI,45,32,53,Left
US,38,31,59,None
US,34,25,57,None
TT,31,41,76,Right
US,44,27,49,Left
GB,28,31,69,Right
SA,37,41,70,Right
CA,30,35,71,Right
CH,49,23,40,Left
US,32,25,59,None
US,33,33,66,Right
US,35,24,55,Left
US,36,29,59,None
US,42,38,62,None
US,27,42,81,Right
US,31,35,70,Right
IN,29,31,68,Right
US,27,34,73,Right
DE,26,35,75,Right
CA,29,26,63,None
AU,36,28,58,None
PH,48,32,50,Left
US,31,30,65,Right
GB,36,29,59,None
IN,36,40,70,Right
PH,36,28,58,None
US,38,33,61,None
CA,34,32,64,None
US,43,31,54,Left
AU,29,35,72,Right
IN,47,21,40,Left
CA,24,28,70,Right
US,28,33,71,Right
BR,38,29,57,None
US,41,28,53,Left
AU,39,33,60,None
FJ,33,33,66,Right
CA,41,29,54,Left
US,34,30,62,None
US,27,33,72,Right
US,37,27,56,None
US,36,29,59,None
AU,39,27,54,Left
US,33,38,71,Right
NP,53,41,54,Left
KW,47,35,54,Left
US,27,36,75,Right
RO,23,32,75,Right
GB,38,34,62,None
AU,30,28,64,None
CA,43,26,49,Left
US,36,21,51,Left
PH,39,35,62,None
GB,31,30,65,Right
SG,27,31,70,Right
US,31,27,62,None
US,36,22,52,Left
US,45,35,56,None
US,26,32,72,Right
FR,36,37,67,Right
CN,46,27,47,Left
US,34,28,60,None
US,39,25,52,Left
US,36,24,54,Left
ID,25,33,74,Right
CA,38,21,49,Left
GB,26,30,70,Right
KR,34,23,55,Left
ES,36,24,54,Left
US,25,39,80,Right
US,35,25,56,None
US,40,25,51,Left
IE,35,24,55,Left
GB,42,27,51,Left
US,35,28,59,None
CR,37,27,56,None
AR,37,41,70,Right
US,44,24,46,Left
EE,26,32,72,Right
US,43,18,41,Left
US,25,32,73,Right
US,25,30,71,Right
US,34,28,60,None
EU,48,28,46,Left
AR,41,33,58,None
US,35,36,67,Right
CA,33,24,57,None
SE,34,29,61,None
US,41,32,57,None
US,46,28,48,Left
GB,31,36,71,Right
IT,30,35,71,Right
US,30,28,64,None
US,28,27,65,Right
US,31,34,69,Right
DZ,45,24,45,Left
US,23,28,71,Right
US,30,33,69,Right
US,35,26,57,None
CA,36,16,46,Left
US,31,39,74,Right
US,26,39,79,Right
US,33,30,63,None
US,28,33,71,Right
US,23,34,77,Right
KH,30,31,67,Right
PH,29,39,76,Right
PH,45,29,50,Left
CA,33,24,57,None
US,34,31,63,None
US,38,35,63,None
CA,30,26,62,None
US,39,41,68,Right
PH,35,28,59,None
UG,32,30,64,None
US,31,25,60,None
PH,0,0,66,Right
FI,33,33,66,Right
ZA,31,35,70,Right
PH,0,0,66,Right
PH,36,28,58,None
PH,39,26,53,Left
AU,15,37,88,Right
IN,36,37,67,Right
FR,35,29,60,None
US,45,28,49,Left
PH,13,12,65,Right
JP,25,32,73,Right
ES,14,36,88,Right
GB,47,22,41,Left
SG,34,29,61,None
US,17,38,87,Right
US,43,28,51,Left
US,20,32,78,Right
CA,43,26,49,Left
AU,36,23,53,Left
IN,38,38,66,Right
EG,43,41,64,None
PH,41,29,54,Left
US,31,32,67,Right
US,31,30,65,Right
BR,36,39,69,Right
US,20,45,91,Right
CO,39,31,58,None
IL,39,31,58,None
US,33,24,57,None
US,32,30,64,None
MX,36,32,62,None
US,24,34,76,Right
PL,37,26,55,Left
TR,45,28,49,Left
CA,41,32,57,None
TR,47,29,48,Left
TR,47,29,48,Left
CA,25,29,70,Right
IT,30,36,72,Right
CA,50,29,45,Left
JO,38,32,60,None
US,27,27,66,Right
US,40,35,61,None
US,34,36,68,Right
GT,30,24,60,None
NZ,23,36,79,Right
KR,39,28,55,Left
US,27,33,72,Right
US,28,38,76,Right
PH,31,33,68,Right
US,36,38,68,Right
US,21,27,72,Right
HR,23,30,73,Right
US,39,21,48,Left
US,42,37,61,None
EU,29,33,70,Right
ID,37,31,60,None
CA,25,32,73,Right
US,41,39,64,None
US,35,27,58,None
GT,27,37,76,Right
US,27,33,72,Right
US,35,33,64,None
US,18,38,86,Right
US,21,37,82,Right
ID,30,32,68,Right
US,34,34,66,Right
US,21,38,83,Right
ZA,39,33,60,None
US,29,30,67,Right
ZA,24,29,71,Right
GB,30,34,70,Right
PH,50,27,43,Left
ZA,42,33,57,None
US,28,31,69,Right
BR,33,26,59,None
US,49,22,39,Left
RO,40,31,57,None
LB,32,28,62,None
GB,51,24,39,Left
ID,29,35,72,Right
PH,33,27,60,None
SE,17,39,88,Right
IN,25,33,74,Right
US,15,36,87,Right
US,43,31,54,Left
MP,28,35,73,Right
US,42,28,52,Left
US,47,30,49,Left
US,28,31,69,Right
ID,33,32,65,Right
US,34,27,59,None
US,34,34,66,Right
US,42,22,46,Left
US,31,30,65,Right
US,45,22,43,Left
IN,21,38,83,Right
US,33,29,62,None
US,33,25,58,None
US,45,25,46,Left
US,30,28,64,None
US,44,30,52,Left
US,29,38,75,Right
GR,29,35,72,Right
US,36,33,63,None
US,29,30,67,Right
DE,29,29,66,Right
MX,27,29,68,Right
US,29,35,72,Right
US,31,27,62,None
ZA,28,32,70,Right
GB,31,35,70,Right
US,30,30,66,Right
ES,25,27,68,Right
US,22,28,72,Right
US,26,31,71,Right
US,48,27,45,Left
ZA,47,27,46,Left
US,47,24,43,Left
MX,36,33,63,None
ZA,33,28,61,None
IT,36,33,63,None
GB,26,33,73,Right
US,34,37,69,Right
US,29,29,66,Right
US,32,27,61,None
HU,27,36,75,Right
AR,29,36,73,Right
US,38,17,45,Left
US,49,16,33,Left
GB,22,34,78,Right
US,47,21,40,Left
US,41,25,50,Left
US,39,32,59,None
US,30,30,66,Right
US,33,31,64,None
US,40,34,60,None
AP,48,24,42,Left
ID,30,37,73,Right
GB,30,31,67,Right
US,46,20,40,Left
US,26,24,64,None
MY,20,33,79,Right
US,38,23,51,Left
PH,31,29,64,None
US,17,36,85,Right
US,17,35,84,Right
US,44,34,56,None
US,33,34,67,Right
AU,33,27,60,None
US,35,36,67,Right
US,22,33,77,Right
US,23,27,70,Right
CA,31,33,68,Right
US,34,38,70,Right
US,30,35,71,Right
US,37,29,58,None
US,25,36,77,Right
US,35,29,60,None
US,31,40,75,Right
CA,39,28,55,Left
US,36,41,71,Right
AU,38,30,58,None
US,47,28,47,Left
AU,22,30,74,Right
VN,40,28,54,Left
US,21,31,76,Right
